//ボード,左上,左下,右上,右下
boards,病院,都市,神社,学校
//ルール区分,ルール名,役職追加,ルール追加
Y,最後の奇跡,キーパーソン+サブヒロイン,【ターン終了フェイズ（最終日）：強制】最終日のターン終了フェイズにキーパーソンがボードXにいない場合、キーパーソンは死亡する。ボードXはサブヒロインの初期位置に等しい。\n【強制：常時】脚本家はキーパーソンに移動カードを置くことが出来ない。
Y,悪霊の封印,クロマク+アクリョウツキ,【敗北条件：ループ終了時】神社に暗躍カウンターが２つ以上置かれている。
Y,笑顔の約束,キーパーソン+ムードメーカー,【敗北条件：ループ終了時】ループ終了時にキーパーソンに友好カウンターがX個（Xは１ループ日数の半分。端数切捨て）以上乗っていない。\n【強制：ループ開始時】前のループで上記敗北条件を満たしていた時、キーパーソンに友好カウンターを１つ乗せる。
Y,思い出のアルバム,ムードメーカー+フレンド,【強制：ターン終了フェイズ】友好カウンターがX個（Xは１ループ日数の半分。端数切捨て）以上乗っているキャラクターの役職は公開される。\n【敗北条件：ループ終了時】全ての役職が公開されていない。
Y,私の中のモンスター,キーパーソン,【強制：常時】不安カウンターが３つ以上乗っているキャラクターはシリアルキラーの役職が追加される。\n【敗北条件：ループ終了時】キーパーソンがそのループ中に誰かを死亡させていたら主人公は敗北する。
X,騒がしい級友,フレンド+ムードメーカー+トラブルメーカー,
X,消えたハイライト,ヘビィラバーズ+ムードメーカー+ミスリーダー,
X,学園七不思議,フレンド+トラブルメーカー+ミスリーダー,【任意：脚本家能力フェイズ】学校に暗躍カウンターが２つ以上乗っている時、学校にいるキャラクター１人に不安カウンターを１つ乗せても良い。
X,日常の裏側,スレイヤー+クリーチャー+ミスリーダー,
X,月夜の遠吠え,ルナティック,【任意能力：脚本家能力フェイズ】暗躍カウンターを任意のボードかキャラクターに１つ置いてもよい（１ループ１回）
X,潜む殺人鬼,シリアルキラー+フレンド,
X,感染拡大,スレイヤー,【強制：常時】暗躍カウンターが１つ以上置かれているうち、元々の役職がパーソンであるキャラクターは、役職がクリーチャーに変更される。
//role,役職名,人数上限,友好無視,追加能力,逆引きルール,
role,パーソン,,,,
role,キーパーソン,,,【強制：死亡時】主人公は敗北し、ただちにこのループを終了させる。,笑顔の約束+最後の奇跡+私の中のモンスター+事件：ルート確定
role,サブヒロイン,,,【強制：常時】このキャラクターにセットされた友好＋１と友好＋２を無視する,最後の奇跡
role,クロマク,,友好無視,【任意能力：脚本家能力フェイズ】このキャラクターと同一のエリアにいるキャラクター１人か、このキャラクターのいるボードに暗躍カウンターを１つ置いてもよい。,悪霊の封印
role,クリーチャー,,友好無視,【任意能力：ターン終了フェイズ】同じエリアにいる暗躍カウンターが１つ以上乗っているキャラクターを１人死亡させることができる。ただし、スレイヤーが同じエリアにいる場合その能力は使えない。\n【任意能力：ターン終了フェイズ】このキャラクターに暗躍カウンターが４つ以上乗っている時、主人公を死亡させることができる,日常の裏側+感染拡大
role,アクリョウツキ,,友好無視,【強制：常時】このキャラクターと同一のエリアに居るキャラクター、並びにこのキャラクターのいるボードに対してセットされた暗躍禁止を無視する。\n【強制：常時】このキャラクター自身にセットされた移動禁止を無視する。,悪霊の封印
role,スレイヤー,1,,【強制：ターン終了フェイズ】クリーチャーと２人きりの場合、クリーチャーを死亡させる。\n【強制：脚本家フェイズ】同じエリアにいるキャラクター１人の暗躍カウンター１つを取り除く。,感染拡大+日常の裏側
role,フレンド,2,,【敗北条件：ループ終了時】このキャラクターが死亡している。このキャラクターの役職を公開する。\n【強制：ループ開始時】このキャラクターの役職が公開されたことがある場合、ループ開始時にこのキャラクターに友好カウンターを１つ乗せる。,騒がしい級友+思い出のアルバム+潜む殺人鬼+学園七不思議
role,ヘビィラバーズ,,,【任意能力：ターン終了フェイズ】このキャラクターに３つ以上の不安カウンターと１つ以上の暗躍カウンターが乗っている場合、主人公を死亡させてもよい。\n【強制：ターン終了フェイズ】このキャラクターと同じエリアに友好カウンターが３つ以上乗っている同性のキャラクターがいる→そのキャラクターを死亡させる。その時に暗躍カウンターと不安カウンタを１つずつまで自身に乗せて良い,消えたハイライト
role,ムードメーカー,1,,【強制：脚本家能力フェイズ】このキャラクターと同一のエリアにいる自身以外のキャラクター１人に友好カウンターを１つ置く,消えたハイライト+思い出のアルバム+騒がしい級友+笑顔の約束
role,シリアルキラー,,,【強制：ターン終了フェイズ】このキャラクターと同一のエリアにいるキャラクターが１人だけ→そのキャラクターを死亡させる。,潜む殺人鬼+私の中のモンスター
role,トラブルメーカー,1,,【任意能力：脚本家能力フェイズ】このキャラクターと同一のエリアにいる自身以外のキャラクター１人の友好カウンターを１つ減らしても良い,騒がしい級友+学園七不思議
role,ミスリーダー,1,,【任意能力：脚本家能力フェイズ】このキャラクターと同一のエリアにいるキャラクター１人に不安カウンターを１つ置いても良い。,日常の裏側+消えたハイライト+学園七不思議
role,ルナティック,,友好無視,【強制：脚本家能力フェイズ】このキャラクターに不安カウンターか暗躍カウンターを１つ置く。\n【強制：役職公開時】ルナティックの役職が公開されたときに同じエリアにいるキャラクターを１人死亡させる。（１ループ１回）,月夜の遠吠え
